record,series,episode,task_no,task_type,task_name,player,contestant,score,title,air_date,tiebreak_winner,full_name,accent_color,portrait_url,bio,analysis
contestant,21,,,,,,Amy,,,,,Amy Gledhill,#6f82ff,https://i.imgur.com/KXhQLQQ.png,<strong>Amy Gledhill</strong> won the Edinburgh Comedy Award in 2024 and is one half of cult double act The Delightful Sausage. A northern stand-up with a gift for absurdist commitment.,
contestant,21,,,,,,Armando,,,,,Armando Iannucci,#f05c37,https://i.imgur.com/JZSgjrb.png,"<strong>Armando Iannucci</strong> is the Scottish satirist behind The Thick of It and Veep, the director of The Death of Stalin and a co-creator of Alan Partridge.",
contestant,21,,,,,,Joanna,,,,,Joanna Page,#30b050,https://i.imgur.com/IuSCsrt.png,"<strong>Joanna Page</strong> is the Welsh actor who played Stacey in Gavin & Stacey, and Judy, the stand-in, in Love Actually.",
contestant,21,,,,,,Joel,,,,,Joel Dommett,#3296c8,https://i.imgur.com/nRfy6Um.png,"<strong>Joel Dommett</strong> is a stand-up and presenter who hosts The Masked Singer UK, and first found wide fame on I’m a Celebrity… Get Me Out of Here!",
contestant,21,,,,,,Kumail,,,,,Kumail Nanjiani,#c060fa,https://i.imgur.com/u0hZhnG.png,"<strong>Kumail Nanjiani</strong> is a Pakistani-American comedian and actor (Silicon Valley, Eternals) who co-wrote The Big Sick with his wife, Emily V. Gordon, earning an Oscar nomination.",
player,21,,,,,Alex,,,,,,,,,,
player,21,,,,,Amanda,,,,,,,,,,
player,21,,,,,Amy D,,,,,,,,,,
player,21,,,,,Blinky,,,,,,,,,,
player,21,,,,,Brady,,,,,,,,,,
player,21,,,,,Celia,,,,,,,,,,
player,21,,,,,Claire,,,,,,,,,,
player,21,,,,,Ellen,,,,,,,,,,
player,21,,,,,Elyse,,,,,,,,,,
player,21,,,,,Emma,,,,,,,,,,
player,21,,,,,Jamie,,,,,,,,,,
player,21,,,,,Jill,,,,,,,,,,
player,21,,,,,Julia,,,,,,,,,,
player,21,,,,,Katherine,,,,,,,,,,
player,21,,,,,Kevin,,,,,,,,,,
player,21,,,,,Melissa,,,,,,,,,,
player,21,,,,,Riley,,,,,,,,,,
episode,21,1,,,,,,,Cube is good.,9 Apr 2026,,,,,,"<strong>Joanna</strong> opened with 22pts, taking the live orange task outright (5–0–0–0–0). Armando and Joel tied on 11pts. Kumail's 9pts was the series low. Range of 13pts — tied with ep5 for the widest spread of the series."
score,21,1,1,P,Prize: Deter people from premises,,Amy,5,,,,,,,,
score,21,1,1,P,Prize: Deter people from premises,,Armando,3,,,,,,,,
score,21,1,1,P,Prize: Deter people from premises,,Joanna,4,,,,,,,,
score,21,1,1,P,Prize: Deter people from premises,,Joel,1,,,,,,,,
score,21,1,1,P,Prize: Deter people from premises,,Kumail,2,,,,,,,,
score,21,1,2,F,Find a worm,,Amy,4,,,,,,,,
score,21,1,2,F,Find a worm,,Armando,2,,,,,,,,
score,21,1,2,F,Find a worm,,Joanna,3,,,,,,,,
score,21,1,2,F,Find a worm,,Joel,5,,,,,,,,
score,21,1,2,F,Find a worm,,Kumail,1,,,,,,,,
score,21,1,3,T,Team: Give Greg five foods,,Amy,3,,,,,,,,
score,21,1,3,T,Team: Give Greg five foods,,Armando,5,,,,,,,,
score,21,1,3,T,Team: Give Greg five foods,,Joanna,5,,,,,,,,
score,21,1,3,T,Team: Give Greg five foods,,Joel,3,,,,,,,,
score,21,1,3,T,Team: Give Greg five foods,,Kumail,3,,,,,,,,
score,21,1,4,F,Put most T-shirts on Alex,,Amy,4,,,,,,,,
score,21,1,4,F,Put most T-shirts on Alex,,Armando,1,,,,,,,,
score,21,1,4,F,Put most T-shirts on Alex,,Joanna,5,,,,,,,,
score,21,1,4,F,Put most T-shirts on Alex,,Joel,2,,,,,,,,
score,21,1,4,F,Put most T-shirts on Alex,,Kumail,3,,,,,,,,
score,21,1,5,L,Live: Find four oranges,,Amy,0,,,,,,,,
score,21,1,5,L,Live: Find four oranges,,Armando,0,,,,,,,,
score,21,1,5,L,Live: Find four oranges,,Joanna,5,,,,,,,,
score,21,1,5,L,Live: Find four oranges,,Joel,0,,,,,,,,
score,21,1,5,L,Live: Find four oranges,,Kumail,0,,,,,,,,
pick,21,1,,,,Alex,Kumail,,,,,,,,,
pick,21,1,,,,Amanda,Armando,,,,,,,,,
pick,21,1,,,,Amy D,Armando,,,,,,,,,
pick,21,1,,,,Blinky,Amy,,,,,,,,,
pick,21,1,,,,Brady,Kumail,,,,,,,,,
pick,21,1,,,,Claire,Joanna,,,,,,,,,
pick,21,1,,,,Ellen,Joanna,,,,,,,,,
pick,21,1,,,,Elyse,Amy,,,,,,,,,
pick,21,1,,,,Emma,Joel,,,,,,,,,
pick,21,1,,,,Jamie,Joel,,,,,,,,,
pick,21,1,,,,Jill,Joel,,,,,,,,,
pick,21,1,,,,Julia,Armando,,,,,,,,,
pick,21,1,,,,Kevin,Joel,,,,,,,,,
pick,21,1,,,,Melissa,Joanna,,,,,,,,,
pick,21,1,,,,Riley,Amy,,,,,,,,,
episode,21,2,,,,,,,"Leg up, Johnny!",16 Apr 2026,,,,,,<strong>Amy</strong> won with 20pts. Armando was disqualified on the bowling task. Kumail's bold choice of the full outfit paid off with 5pts. One of the tightest episodes of the series — just 7pts between 1st and 5th.
score,21,2,1,P,Prize: Most unquestionable beauty,,Amy,5,,,,,,,,
score,21,2,1,P,Prize: Most unquestionable beauty,,Armando,4,,,,,,,,
